id,Exercise Name,Muscle Group,Equipment,Difficulty,Exercise_Type,Combined_Text,Exercise_URL,Video_URL,description
0,Abdominals Stretch Variation Four,abdominals,bosu-ball,Beginner,Stretching,"1
Lay on a ball or a Bosu ball with your feet firmly planted on the floor.
2
Lean all the way back until you feel a stretch in your abdomen.
3
Crunch upwards and hold for a 1-2 count.
4
Slowly return to the starting position and repeat.



Abdominal Exercise, Abs, Fitness Stretch, Abs Exercise, How To Do A Abdominals Stretch Variation Four, How to do Abdominals Stretch Variation Four, beginner Stretches exercise, Abdominals Exercise",https://musclewiki.com/stretches/male/abdominals/abdominals-stretch-variation-four/,https://media.musclewiki.com/media/uploads/videos/branded/male-abdominals-stretch-variation-4-front.mp4#t=0.1,"The 'Abdominals Stretch Variation Four' is a 'Beginner' level 'Stretching' exercise that targets the 'abdominals' and requires 'bosu-ball'. Instructions and tips: 1.Lay on a ball or a Bosu ball with your feet firmly planted on the floor..2.Lean all the way back until you feel a stretch in your abdomen..3.Crunch upwards and hold for a 1-2 count..4.Slowly return to the starting position and repeat..Abdominal Exercise, Abs, Fitness Stretch, Abs Exercise, How To Do A Abdominals Stretch Variation Four, How to do Abdominals Stretch Variation Four, beginner Stretches exercise, Abdominals Exercise"
1,Abdominals Stretch Variation One,abdominals,None,Beginner,Stretching,"1
Lay on your stomach on the floor with your forearms flat on the ground.
2
Extend your elbows and push your upper body upwards.
3
Push your upper body upwards until you feel a stretch in your abs, then return to the starting position and repeat.



beginner Stretches exercise, How To Do A Abdominals Stretch Variation One, Fitness Stretch, Abs, How to do Abdominals Stretch Variation One, Abdominals Exercise, Abdominal Exercise, Abs Exercise",https://musclewiki.com/stretches/male/abdominals/abdominals-stretch-variation-one/,https://media.musclewiki.com/media/uploads/videos/branded/male-abdominals-stretch-variation-1-front.mp4#t=0.1,"The 'Abdominals Stretch Variation One' is a 'Beginner' level 'Stretching' exercise that targets the 'abdominals' and requires 'None'. Instructions and tips: 1.Lay on your stomach on the floor with your forearms flat on the ground..2.Extend your elbows and push your upper body upwards..3.Push your upper body upwards until you feel a stretch in your abs, then return to the starting position and repeat..beginner Stretches exercise, How To Do A Abdominals Stretch Variation One, Fitness Stretch, Abs, How to do Abdominals Stretch Variation One, Abdominals Exercise, Abdominal Exercise, Abs Exercise"
2,Abdominals Stretch Variation Three,"abdominals, obliques",None,Beginner,Stretching,"1
Stand upright.
2
After completing the desired amount of reps with the left arm, switch to the right arm and lean to the left.
3
Reach up with your left arm and then lean slowly to the right. Lean until a stretch is felt in the obliques.



beginner Stretches exercise, Obliques, Fitness Stretch, How To Do A Abdominals Stretch Variation Three, Obliques Exercise, Abs, Abdominals Exercise, Abdominal Exercise, Ab Exercise, How to do Abdominals Stretch Variation Three, Abs Exercise",https://musclewiki.com/stretches/male/abdominals/abdominals-stretch-variation-three/,https://media.musclewiki.com/media/uploads/videos/branded/male-abdominals-stretch-variation-3-front.mp4#t=0.1,"The 'Abdominals Stretch Variation Three' is a 'Beginner' level 'Stretching' exercise that targets the 'abdominals, obliques' and requires 'None'. Instructions and tips: 1.Stand upright..2.After completing the desired amount of reps with the left arm, switch to the right arm and lean to the left..3.Reach up with your left arm and then lean slowly to the right. Lean until a stretch is felt in the obliques..beginner Stretches exercise, Obliques, Fitness Stretch, How To Do A Abdominals Stretch Variation Three, Obliques Exercise, Abs, Abdominals Exercise, Abdominal Exercise, Ab Exercise, How to do Abdominals Stretch Variation Three, Abs Exercise"
3,Abdominals Stretch Variation Two,"abdominals, obliques",None,Beginner,Stretching,"1
Stand upright.
2
Reach with both hands upwards until you can interlock your fingers.
3
With your hands above your head, lean back until a stretch is felt in the abdominals.



Abdominal Exercise, Abs, How to do Abdominals Stretch Variation Two, How To Do A Abdominals Stretch Variation Two, Fitness Stretch, Abs Exercise, Ab Exercise, beginner Stretches exercise, Abdominals Exercise, Obliques Exercise, Obliques",https://musclewiki.com/stretches/male/abdominals/abdominals-stretch-variation-two/,https://media.musclewiki.com/media/uploads/videos/branded/male-abdominals-stretch-variation-2-front.mp4#t=0.1,"The 'Abdominals Stretch Variation Two' is a 'Beginner' level 'Stretching' exercise that targets the 'abdominals, obliques' and requires 'None'. Instructions and tips: 1.Stand upright..2.Reach with both hands upwards until you can interlock your fingers..3.With your hands above your head, lean back until a stretch is felt in the abdominals..Abdominal Exercise, Abs, How to do Abdominals Stretch Variation Two, How To Do A Abdominals Stretch Variation Two, Fitness Stretch, Abs Exercise, Ab Exercise, beginner Stretches exercise, Abdominals Exercise, Obliques Exercise, Obliques"
4,Abductor Leg Raise Side Lying,"glutes, gluteus-medius",bodyweight,Beginner,Muscle Building,"1
Stabilise yourself in the side lying position, using your upper arm and under leg
2
Raise your upper leg till it is parallel to the ground. This is your starting point.
3
Raise your leg and lower back to parallel for the specified amount of reps and/or sets
4
Feel your bum (glute med) and the lateral line of your leg worked



Glutes Exercise, Butt Exercise, Gluteus Medius Exercise, Glute Exercise",https://musclewiki.com/recovery/male/glutes/abductor-leg-raise-side-lying/,https://media.musclewiki.com/media/uploads/videos/branded/male-Recovery-abductor-leg-raise-side-lying-front.mp4#t=0.1,"The 'Abductor Leg Raise Side Lying' is a 'Beginner' level 'Muscle Building' exercise that targets the 'glutes, gluteus-medius' and requires 'bodyweight'. Instructions and tips: 1.Stabilise yourself in the side lying position, using your upper arm and under leg.2.Raise your upper leg till it is parallel to the ground. This is your starting point..3.Raise your leg and lower back to parallel for the specified amount of reps and/or sets.4.Feel your bum (glute med) and the lateral line of your leg worked.Glutes Exercise, Butt Exercise, Gluteus Medius Exercise, Glute Exercise"
5,Abductor Leg Raise Side Lying Isometric,"glutes, gluteus-medius",bodyweight,Beginner,Muscle Building,"1
Stabilise yourself in the side lying position, using your upper arm and under leg
2
Raise your upper leg till it is parallel to the ground and hold isometrically for the specified amount of time.
3
Feel your bum (glute med) and the lateral line of your leg worked



Glutes Exercise, Butt Exercise, Gluteus Medius Exercise, Glute Exercise",https://musclewiki.com/recovery/male/glutes/abductor-leg-raise-side-lying-isometric/,https://media.musclewiki.com/media/uploads/videos/branded/male-Recovery-abductor-leg-raise-side-lying-isometric-front.mp4#t=0.1,"The 'Abductor Leg Raise Side Lying Isometric' is a 'Beginner' level 'Muscle Building' exercise that targets the 'glutes, gluteus-medius' and requires 'bodyweight'. Instructions and tips: 1.Stabilise yourself in the side lying position, using your upper arm and under leg.2.Raise your upper leg till it is parallel to the ground and hold isometrically for the specified amount of time..3.Feel your bum (glute med) and the lateral line of your leg worked.Glutes Exercise, Butt Exercise, Gluteus Medius Exercise, Glute Exercise"
6,Adductor Leg Raise Side Lying,inner-thigh,bodyweight,Beginner,Muscle Building,"1
Stabilise yourself in the side lying position, using your upper arm and leg
2
Raise and lower your under leg for the specified amount of reps/or sets



Quad Exercise, Inner Thigh Exercise, Leg Exercise, Quads Exercise",https://musclewiki.com/recovery/male/inner-thigh/adductor-leg-raise-side-lying/,https://media.musclewiki.com/media/uploads/videos/branded/male-Recovery-adductor-leg-raise-side-lying-side.mp4#t=0.1,"The 'Adductor Leg Raise Side Lying' is a 'Beginner' level 'Muscle Building' exercise that targets the 'inner-thigh' and requires 'bodyweight'. Instructions and tips: 1.Stabilise yourself in the side lying position, using your upper arm and leg.2.Raise and lower your under leg for the specified amount of reps/or sets.Quad Exercise, Inner Thigh Exercise, Leg Exercise, Quads Exercise"
7,Adductor Leg Raise Side Lying Isometric,inner-thigh,bodyweight,Beginner,Muscle Building,"1
Stabilise yourself in the side lying position, using your upper arm and leg
2
Raise your under leg and hold isometrically for the specified amount of time



Quad Exercise, Inner Thigh Exercise, Leg Exercise, Quads Exercise",https://musclewiki.com/recovery/male/inner-thigh/adductor-leg-raise-side-lying-isometric/,https://media.musclewiki.com/media/uploads/videos/branded/male-Recovery-adductor-leg-raise-side-lying-isometric-side.mp4#t=0.1,"The 'Adductor Leg Raise Side Lying Isometric' is a 'Beginner' level 'Muscle Building' exercise that targets the 'inner-thigh' and requires 'bodyweight'. Instructions and tips: 1.Stabilise yourself in the side lying position, using your upper arm and leg.2.Raise your under leg and hold isometrically for the specified amount of time.Quad Exercise, Inner Thigh Exercise, Leg Exercise, Quads Exercise"
8,Adductor Raise Side Lying Long Lever,inner-thigh,None,Advanced,Muscle Building,"1
From the side lying position, place your upper leg on a bench
2
Raise your hips off the ground by pressing your leg into the bench



Quad Exercise, Inner Thigh Exercise, Leg Exercise, Quads Exercise",https://musclewiki.com/recovery/male/inner-thigh/adductor-raise-side-lying-long-lever/,https://media.musclewiki.com/media/uploads/videos/branded/male-Recovery-adductor-raise-side-lying-long-lever-front.mp4#t=0.1,"The 'Adductor Raise Side Lying Long Lever' is a 'Advanced' level 'Muscle Building' exercise that targets the 'inner-thigh' and requires 'None'. Instructions and tips: 1.From the side lying position, place your upper leg on a bench.2.Raise your hips off the ground by pressing your leg into the bench.Quad Exercise, Inner Thigh Exercise, Leg Exercise, Quads Exercise"
9,Adductor Raise Side Lying Short Lever,inner-thigh,None,Intermediate,Muscle Building,"1
From the side lying position, bend your upper leg and place it on a bench
2
Raise your hips off the ground by pressing your leg into the bench



Quad Exercise, Inner Thigh Exercise, Leg Exercise, Quads Exercise",https://musclewiki.com/recovery/male/inner-thigh/adductor-raise-side-lying-short-lever/,https://media.musclewiki.com/media/uploads/videos/branded/male-Recovery-adductor-raise-side-lying-short-lever-side.mp4#t=0.1,"The 'Adductor Raise Side Lying Short Lever' is a 'Intermediate' level 'Muscle Building' exercise that targets the 'inner-thigh' and requires 'None'. Instructions and tips: 1.From the side lying position, bend your upper leg and place it on a bench.2.Raise your hips off the ground by pressing your leg into the bench.Quad Exercise, Inner Thigh Exercise, Leg Exercise, Quads Exercise"
