Exercise Name,Muscle Group,Equipment,Difficulty,Exercise_Type,Combined_Text,Exercise_URL,Video_URL
Abdominals Stretch Variation Four,abdominals,bosu-ball,Beginner,Stretching,"1
Lay on a ball or a Bosu ball with your feet firmly planted on the floor.
2
Lean all the way back until you feel a stretch in your abdomen.
3
Crunch upwards and hold for a 1-2 count.
4
Slowly return to the starting position and repeat.



Abdominal Exercise, Abs, Fitness Stretch, Abs Exercise, How To Do A Abdominals Stretch Variation Four, How to do Abdominals Stretch Variation Four, beginner Stretches exercise, Abdominals Exercise",https://musclewiki.com/stretches/male/abdominals/abdominals-stretch-variation-four/,https://media.musclewiki.com/media/uploads/videos/branded/male-abdominals-stretch-variation-4-front.mp4#t=0.1
Abdominals Stretch Variation One,abdominals,unknown,Novice,Stretching,"1
Lay on your stomach on the floor with your forearms flat on the ground.
2
Extend your elbows and push your upper body upwards.
3
Push your upper body upwards until you feel a stretch in your abs, then return to the starting position and repeat.



beginner Stretches exercise, How To Do A Abdominals Stretch Variation One, Fitness Stretch, Abs, How to do Abdominals Stretch Variation One, Abdominals Exercise, Abdominal Exercise, Abs Exercise",https://musclewiki.com/stretches/male/abdominals/abdominals-stretch-variation-one/,https://media.musclewiki.com/media/uploads/videos/branded/male-abdominals-stretch-variation-1-front.mp4#t=0.1
Abdominals Stretch Variation Three,"abdominals, obliques",unknown,Novice,Stretching,"1
Stand upright.
2
After completing the desired amount of reps with the left arm, switch to the right arm and lean to the left.
3
Reach up with your left arm and then lean slowly to the right. Lean until a stretch is felt in the obliques.



beginner Stretches exercise, Obliques, Fitness Stretch, How To Do A Abdominals Stretch Variation Three, Obliques Exercise, Abs, Abdominals Exercise, Abdominal Exercise, Ab Exercise, How to do Abdominals Stretch Variation Three, Abs Exercise",https://musclewiki.com/stretches/male/abdominals/abdominals-stretch-variation-three/,https://media.musclewiki.com/media/uploads/videos/branded/male-abdominals-stretch-variation-3-front.mp4#t=0.1
Abdominals Stretch Variation Two,"abdominals, obliques",unknown,Novice,Stretching,"1
Stand upright.
2
Reach with both hands upwards until you can interlock your fingers.
3
With your hands above your head, lean back until a stretch is felt in the abdominals.



Abdominal Exercise, Abs, How to do Abdominals Stretch Variation Two, How To Do A Abdominals Stretch Variation Two, Fitness Stretch, Abs Exercise, Ab Exercise, beginner Stretches exercise, Abdominals Exercise, Obliques Exercise, Obliques",https://musclewiki.com/stretches/male/abdominals/abdominals-stretch-variation-two/,https://media.musclewiki.com/media/uploads/videos/branded/male-abdominals-stretch-variation-2-front.mp4#t=0.1
Abductor Leg Raise Side Lying,"glutes, gluteus-medius",bodyweight,Beginner,Muscle Building,"1
Stabilise yourself in the side lying position, using your upper arm and under leg
2
Raise your upper leg till it is parallel to the ground. This is your starting point.
3
Raise your leg and lower back to parallel for the specified amount of reps and/or sets
4
Feel your bum (glute med) and the lateral line of your leg worked



Glutes Exercise, Butt Exercise, Gluteus Medius Exercise, Glute Exercise",https://musclewiki.com/recovery/male/glutes/abductor-leg-raise-side-lying/,https://media.musclewiki.com/media/uploads/videos/branded/male-Recovery-abductor-leg-raise-side-lying-front.mp4#t=0.1
Abductor Leg Raise Side Lying Isometric,"glutes, gluteus-medius",bodyweight,Beginner,Muscle Building,"1
Stabilise yourself in the side lying position, using your upper arm and under leg
2
Raise your upper leg till it is parallel to the ground and hold isometrically for the specified amount of time.
3
Feel your bum (glute med) and the lateral line of your leg worked



Glutes Exercise, Butt Exercise, Gluteus Medius Exercise, Glute Exercise",https://musclewiki.com/recovery/male/glutes/abductor-leg-raise-side-lying-isometric/,https://media.musclewiki.com/media/uploads/videos/branded/male-Recovery-abductor-leg-raise-side-lying-isometric-front.mp4#t=0.1
Adductor Leg Raise Side Lying,inner-thigh,bodyweight,Beginner,Muscle Building,"1
Stabilise yourself in the side lying position, using your upper arm and leg
2
Raise and lower your under leg for the specified amount of reps/or sets



Quad Exercise, Inner Thigh Exercise, Leg Exercise, Quads Exercise",https://musclewiki.com/recovery/male/inner-thigh/adductor-leg-raise-side-lying/,https://media.musclewiki.com/media/uploads/videos/branded/male-Recovery-adductor-leg-raise-side-lying-side.mp4#t=0.1
Adductor Leg Raise Side Lying Isometric,inner-thigh,bodyweight,Beginner,Muscle Building,"1
Stabilise yourself in the side lying position, using your upper arm and leg
2
Raise your under leg and hold isometrically for the specified amount of time



Quad Exercise, Inner Thigh Exercise, Leg Exercise, Quads Exercise",https://musclewiki.com/recovery/male/inner-thigh/adductor-leg-raise-side-lying-isometric/,https://media.musclewiki.com/media/uploads/videos/branded/male-Recovery-adductor-leg-raise-side-lying-isometric-side.mp4#t=0.1
Adductor Raise Side Lying Long Lever,inner-thigh,unknown,Advanced,Muscle Building,"1
From the side lying position, place your upper leg on a bench
2
Raise your hips off the ground by pressing your leg into the bench



Quad Exercise, Inner Thigh Exercise, Leg Exercise, Quads Exercise",https://musclewiki.com/recovery/male/inner-thigh/adductor-raise-side-lying-long-lever/,https://media.musclewiki.com/media/uploads/videos/branded/male-Recovery-adductor-raise-side-lying-long-lever-front.mp4#t=0.1
Adductor Raise Side Lying Short Lever,inner-thigh,unknown,Intermediate,Muscle Building,"1
From the side lying position, bend your upper leg and place it on a bench
2
Raise your hips off the ground by pressing your leg into the bench



Quad Exercise, Inner Thigh Exercise, Leg Exercise, Quads Exercise",https://musclewiki.com/recovery/male/inner-thigh/adductor-raise-side-lying-short-lever/,https://media.musclewiki.com/media/uploads/videos/branded/male-Recovery-adductor-raise-side-lying-short-lever-side.mp4#t=0.1
Adductor Stretch Dynamic Standing Alternate,inner-thigh,unknown,Beginner,Stretching,"1
From the standing position, use a chair/bench/box for support
2
Transfer your weight towards one leg by bending the knee, while keeping the opposite leg straight and the foot on the ground
3
Feel a stretch on the inside of the thigh (adductor) of the straight leg



Quad Exercise, Inner Thigh Exercise, Leg Exercise, Quads Exercise",https://musclewiki.com/recovery/male/inner-thigh/adductor-stretch-dynamic-standing-alternate/,https://media.musclewiki.com/media/uploads/videos/branded/male-Recovery-adductor-stretch-dynamic-standing-alternate-front.mp4#t=0.1
Adductor Stretch Dynamic Unilateral 4 Point Position,inner-thigh,unknown,Beginner,Stretching,"1
From the 4 point position (all fours), extend one leg to the side, placing the foot on the ground.
2
Start rocking your hips back and forth.
3
You should feel your adductors and hip joint being stretched.
4
Try to maintain a neutral spine



Quad Exercise, Inner Thigh Exercise, Leg Exercise, Quads Exercise",https://musclewiki.com/recovery/male/inner-thigh/adductor-stretch-dynamic-unilateral-4-point-position/,https://media.musclewiki.com/media/uploads/videos/branded/male-Recovery-adductor-stretch-dynamic-unilateral-4-point-position-side.mp4#t=0.1
Adductor Stretch Seated Bilateral Dynamic,inner-thigh,unknown,Beginner,Stretching,"1
Sit against a wall and bring your feet together, letting the knees spread
2
Once you reach the end of your range, bounce the knees to feel a gentle stretch deep in your groin
3
Try to maintain a straight back while performing the exercise



Quad Exercise, Inner Thigh Exercise, Leg Exercise, Quads Exercise",https://musclewiki.com/recovery/male/inner-thigh/adductor-stretch-seated-bilateral-dynamic/,https://media.musclewiki.com/media/uploads/videos/branded/male-Recovery-adductor-stretch-seated-bilateral-dynamic-front.mp4#t=0.1
Adductor Stretch Seated Bilateral Static,inner-thigh,unknown,Beginner,Stretching,"1
Sit against a wall and bring your feet together, letting the knees spread
2
Once you reach the end of your range, allow gravity to do the work
3
If you feel that gravity isn't enough, you can apply gentle downward pressure on your knees with your palms
4
Try to maintain a straight back while performing the exercise



Quad Exercise, Inner Thigh Exercise, Leg Exercise, Quads Exercise",https://musclewiki.com/recovery/male/inner-thigh/adductor-stretch-seated-bilateral-static/,https://media.musclewiki.com/media/uploads/videos/branded/male-Recovery-adductor-stretch-seated-bilateral-static-front.mp4#t=0.1
Alternating Pole Rotation,"lateral-deltoid, anterior-deltoid, posterior-deltoid",unknown,Beginner,Stretching,"1
Start with the pole in front of you with an overhand wider than shoulder width grip.
2
Rotate one arm overhead and behind while keeping the other arm in front of you.
3
Then rotate the other arm.
4
Bring the original arm back to the starting position, then the other arm. Repeat.



Posterior Deltoid Exercise, Anterior Deltoid Exercise, Fitness Stretch, Shoulder Exercise, Lateral Deltoid Exercise, Shoulders Exercise",https://musclewiki.com/stretches/male/shoulders/alternating-pole-rotation/,https://media.musclewiki.com/media/uploads/videos/branded/male-Stretches-alternating-pole-rotation-front.mp4#t=0.1
Ankle Circle,calves,unknown,Novice,Muscle Building,"1
Sit or stand, lift one foot slightly off the ground.
2
Rotate your ankle in a circular motion.
3
Complete the allotted amount of reps, then switch directions and repeat on the other foot.



Calves Exercise, Leg Exercise, Calves",https://musclewiki.com/recovery/male/ankles/ankle-circle/,https://media.musclewiki.com/media/uploads/videos/branded/male-Recovery-ankle-circle-front.mp4#t=0.1
Band Floor Quad Stretch,quads,band,Beginner,Stretching,"1
Lie on your front. Bend one leg, reach back and grab the foot with one arm
2
Pull the heel towards the glute to stretch your quad.
3
You can use a band or stretch strap to do the same thing.



Quads Exercise, Leg Exercise, Quad Exercise",https://musclewiki.com/recovery/male/quads/quad-stretch-floor-prone/,https://media.musclewiki.com/media/uploads/videos/branded/male-Recovery-quad-stretch-floor-prone-side.mp4#t=0.1
Band Glute Kickback Hold,glutes,band,Beginner,Muscle Building,"1
Attach a band to a fixed point. Wrap the loose end of the band around your ankle.
2
Face the attachment point. Shift you weight onto one leg (use balancing aids if needed).
3
Extend your working leg and maintain the position.



Glutes Exercise, Butt Exercise, Glute Exercise",https://musclewiki.com/recovery/male/glutes/hip-extension-standing-resisted-isometric/,https://media.musclewiki.com/media/uploads/videos/branded/male-Recovery-hip-extension-standing-resisted-isometric-side.mp4#t=0.1
Band Hip Thrust,glutes,band,Novice,Muscle Building,"1
Attach a band to an anchor point and face away from the anchor point.
2
Loop the other end of the band around your hips.
3
While keeping your knees extended, shift your hips back, then forward against the band.



Glutes Exercise, Butt Exercise, Glute Exercise",https://musclewiki.com/recovery/male/glutes/hip-thrust-standing-resisted/,https://media.musclewiki.com/media/uploads/videos/branded/male-Recovery-hip-thrust-standing-resisted-front.mp4#t=0.1
Band Knee Extension,quads,band,Beginner,Muscle Building,"1
Attach a band to a fixed point and wrap the loose end around your knee.
2
Start in the standing position, facing the anchoring point and with the band already under tension.
3
Allow the working knee to bend (the band will pull the knee), while shifting your weight onto the supporting leg.
4
Shift your weight back onto the bentleg and fully extend the knee (pull the kneecap up)



Quads Exercise, Leg Exercise, Quad Exercise",https://musclewiki.com/recovery/male/quads/knee-extension-closed-chain-standing-resisted/,https://media.musclewiki.com/media/uploads/videos/branded/male-Recovery-knee-extension-closed-chain-standing-resisted-front.mp4#t=0.1
Band Shoulder Y Raise,shoulders,band,Novice,Muscle Building,"1
Hold one end of a band with your arm to the side and behind your body.
2
Hold the other end in front of your body (overhand grip).
3
Move your arm away from your body and upward while externally rotating your shoulder.
4
Finish with your arm over your head and thumb up



",https://musclewiki.com/recovery/male/shoulders/band-shoulder-y-raise/,https://media.musclewiki.com/media/uploads/videos/branded/male-Recovery-shoulder-d2-raise-standing-theraband-side.mp4#t=0.1
Band Straight Leg Hip Flexions,rectus-femoris,band,Beginner,Muscle Building,"1
Attach a band to a fixed point.
2
Wrap the loose end of the band around your ankle.
3
Face away from the attachment point.
4
Raise your working leg against the resistance.



Rectus Femoris Exercise, Quad Exercise, Leg Exercise, Quads Exercise",https://musclewiki.com/recovery/male/rectus-femoris/hip-flexions-straight-leg-standing-resisted/,https://media.musclewiki.com/media/uploads/videos/branded/male-Recovery-hip-flexions-straight-leg-standing-resisted-side.mp4#t=0.1
Bench Lift Off Active,lower-abdominals,unknown,Intermediate,Muscle Building,"1
While seated on a bench, place your palms on the bench by your sides
2
Palm placement should allow room for the fingers to grip the edge of the bench
3
Try to lift your bodyweight off the bench by pushing the palms into the bench
4
Lockout your elbows and repeat or hold isometrically



Trapezius Exercise, Lower Abdominals Exercise, Traps Exercise, Lower Traps Exercise, Abs, Abdominals Exercise, Abdominal Exercise, Abs Exercise",https://musclewiki.com/recovery/male/lower-abdominals/bench-lift-off-active/,https://media.musclewiki.com/media/uploads/videos/branded/male-Recovery-bench-lift-off-active-side.mp4#t=0.1
Bench Lift Off Static,lower-abdominals,unknown,Intermediate,Muscle Building,"1
While seated on a bench, place your palms on the bench by your sides
2
Palm placement should allow room for the fingers to grip the edge of the bench
3
Try to lift your bodyweight off the bench by pushing the palms into the bench
4
Lockout your elbows and hold isometrically



Trapezius Exercise, Lower Abdominals Exercise, Traps Exercise, Lower Traps Exercise, Abs, Abdominals Exercise, Abdominal Exercise, Abs Exercise",https://musclewiki.com/recovery/male/lower-abdominals/bench-lift-off-static/,https://media.musclewiki.com/media/uploads/videos/branded/male-Recovery-bench-lift-off-seated-side.mp4#t=0.1
Biceps Stretch Variation Five,biceps,unknown,Novice,Stretching,"1
Stand upright with your feet shoulder width apart.
2
Raise your arms out to your sides, bringing them up to shoulder level.
3
Rotate your palms so they are facing the ceiling.
4
Then, change direction and rotate the arms as much as you can.



Bicep Exercise, Fitness Stretch, How to do Biceps Stretch Variation Five, beginner Stretches exercise, Arm Exercise, How To Do A Biceps Stretch Variation Five, Biceps Exercise",https://musclewiki.com/stretches/male/biceps/biceps-stretch-variation-five/,https://media.musclewiki.com/media/uploads/videos/branded/male-biceps-stretch-variation-5-front.mp4#t=0.1
Biceps Stretch Variation Four,biceps,unknown,Novice,Stretching,"1
Stand an arms width away from the wall.
2
Raise your arms out behind you, and place them on the wall with your fingers pointing up.
3
Bend your knees whilst keeping your hands in the same position.



beginner Stretches exercise, Biceps Exercise, Fitness Stretch, Arm Exercise, How To Do A Biceps Stretch Variation Four, Bicep Exercise, How to do Biceps Stretch Variation Four",https://musclewiki.com/stretches/male/biceps/biceps-stretch-variation-four/,https://media.musclewiki.com/media/uploads/videos/branded/male-biceps-stretch-variation-4-front.mp4#t=0.1
Biceps Stretch Variation One,biceps,unknown,Novice,Stretching,"1
Stand one foot in front of the other with the wall to your right, an arms width away.
2
Place your hand on the wall, fingers pointing away from you.
3
Gently lean forward, keeping your hand stationary.
4
Repeat with the other arm.



How To Do A Biceps Stretch Variation One, Bicep Exercise, Fitness Stretch, beginner Stretches exercise, Arm Exercise, How to do Biceps Stretch Variation One, Biceps Exercise",https://musclewiki.com/stretches/male/biceps/biceps-stretch-variation-one/,https://media.musclewiki.com/media/uploads/videos/branded/male-biceps-stretch-variation-1-front.mp4#t=0.1
