Muscle Group,Exercise Name,Instructions,Exercise URL,Video URL,Detailed How-To,Difficulty,Tags
biceps,Plate Bicep Curl,"1
Stand upright with your feet shoulder-width apart, holding a weight plate with both hands. For a standard two-hand curl, grasp the plate by its sides, with your palms facing towards you or slightly angled. Your arms should be fully extended, and the plate should rest against your thighs

2
Keeping your elbows tucked close to your body and your upper arms stationary, slowly curl the plate upward towards your chest, exhaling as you lift. Focus on contracting your biceps

3
Continue curling until your wrists are slightly higher than your elbows or the plate is close to your shoulders. Pause briefly at the top to feel the full contraction

4
Slowly lower the plate back down to the starting position with control, inhaling as you extend your arms fully. Avoid letting the weight drop quickly

5
Repeat for the desired number of repetitions",https://musclewiki.com/plate/male/biceps/plate-bicep-curl/,https://media.musclewiki.com/media/uploads/videos/branded/male-plate-bicep-curl-front.mp4#t=0.1,,Beginner,"Biceps Exercise, beginner Plate exercise, Plate Exercise, How to do Plate Bicep Curl, How To Do A Plate Bicep Curl, Arm Exercise, Bicep Exercise"
chest,TRX Pec Fly,"1
Position yourself facing away from the TRX anchor point, holding one handle in each hand with an overhand grip. Straighten your arms in front of you at chest height, palms facing each other

2
Lean forward so your body is at a slight angle, maintaining a straight line from your head to your heels. The more you lean, the more challenging the exercise will be. Keep a slight bend in your elbows throughout the movement

3
Slowly open your arms out to the sides in a wide arc, as if you're hugging a large tree. Feel the stretch across your chest as you control the descent

4
Once your arms are extended to your sides and you feel a good stretch in your chest, use your chest muscles to pull your arms back together in a controlled arc to the starting position. Focus on squeezing your chest

5
Repeat for the desired number of repetitions, maintaining core engagement and a stable plank position throughout the movement",https://musclewiki.com/trx/male/chest/trx-pec-fly/,,,Intermediate,"intermediate TRX exercise, Total Resistance Exercise, chest, TRX, How to do TRX Pec Fly, TRX Exercise, Pec Exercise, Pecs, How To Do A TRX Pec Fly, Chest Exercise, pecs"
chest,TRX Pushup,"1
Adjust the TRX straps so the handles hang around mid-calf height. Stand facing away from the anchor point, grasp the handles with an overhand grip, and place your feet on the ground, shoulder-width apart

2
Walk your feet back until your body is in a plank position, maintaining a straight line from your head to your heels. The more vertical your body (feet closer to the anchor), the easier it will be; the more horizontal (feet further away), the harder

3
Keeping your core engaged and your body in a straight line, slowly lower your chest towards the floor by bending your elbows. Your elbows should flare out slightly to the sides or track backward depending on your preference

4
Descend until your chest is between or slightly below your hands, feeling a stretch in your chest and shoulders

5
Push back up to the starting plank position by extending your arms, focusing on engaging your chest and triceps. Maintain control throughout the movement and avoid sagging your hips

6
Repeat for the desired number of repetitions",https://musclewiki.com/trx/male/shoulders/trx-pushup/,,,Intermediate,"Total Resistance Exercise, pushup, Pecs, TRX, pecs, Anterior Deltoid Exercise, Shoulder Exercise, How To Do A TRX Pushup, beginner TRX exercise, TRX Exercise, Chest Exercise, Pec Exercise, How to do TRX Pushup, Shoulders Exercise"
chest,Cable Bench Press,"1
Set up two cable pulleys to their lowest position. Position a flat or adjustable bench directly in the center, between the two cable machines

2
Lie down on the bench with your head under the cable pulleys. Grab a handle in each hand, palms facing forward (pronated grip). Your arms should be extended to the sides, feeling a stretch in your chest

3
Engage your core and press the handles upwards in an arc, bringing them together over your chest. Focus on squeezing your chest muscles as you press

4
Pause briefly at the top when your arms are fully extended and the handles are together (or nearly together) above your chest

5
Slowly lower the handles back down to the starting position with control, allowing your chest to stretch. Maintain tension on the cables throughout the movement

6
Repeat for the desired number of repetitions",https://musclewiki.com/cables/male/anterior-deltoid/cable-bench-press/,,,Intermediate,"Pec Exercise, Chest Exercise, Pecs"
chest,Kettlebell Floor Press,"1
Lie on your back on the floor with your knees bent and feet flat on the ground. Place a kettlebell on the floor beside one shoulder

2
Roll onto your side and grasp the kettlebell handle with both hands, bringing it close to your chest. Carefully roll onto your back, positioning the kettlebell over your chest with your elbow resting on the floor

3
Adjust your grip so that the kettlebell handle runs diagonally across your palm, and the bell rests on the outside of your forearm. Your elbow should be tucked slightly into your side, and your arm should be at about a 45-degree angle to your body

4
Keeping your elbow braced on the floor, press the kettlebell straight up towards the ceiling by extending your arm. Exhale as you press, focusing on contracting your chest and tricep

5
Pause briefly at the top when your arm is fully extended and the kettlebell is directly over your shoulder

6
Slowly lower the kettlebell back down with control until your elbow gently touches the floor again, feeling the stretch in your chest. Inhale as you lower

7
Repeat for the desired number of repetitions on one side before carefully switching the kettlebell to the other hand and repeating the process",https://musclewiki.com/kettlebells/male/triceps/kettlebell-floor-press/,,,Intermediate,"Kettlebell Exercise, Kettlebells, Arm Exercise, Triceps Exercise, Tricep Exercise"
chest,Smith Machine Pushup,"1
Set the Smith machine bar to a desired height. The higher the bar, the easier the exercise; the lower the bar, the more challenging it will be (similar to an incline/decline pushup effect)

2
Stand facing the bar and grasp it with an overhand grip, slightly wider than shoulder-width apart. Your palms should be facing away from you

3
Walk your feet back until your body forms a straight line from your head to your heels, similar to a plank position. The further back your feet are, the more difficult the exercise

4
Keeping your core engaged and your body in a straight line, slowly lower your chest towards the bar by bending your elbows. Your elbows should point slightly outward or backward

5
Descend until your chest nearly touches the bar, or as deep as your flexibility allows while maintaining good form

6
Push back up to the starting straight-arm position by extending your arms, focusing on engaging your chest and triceps. Maintain control throughout the movement and avoid sagging your hips

7
Repeat for the desired number of repetitions",https://musclewiki.com/smith-machine/male/chest/smith-machine-pushup/,,,Beginner,"Pec Exercise, Chest Exercise, Pecs, Mid and Lower Chest Exercise"
quads,Kettlebell Single Arm Curtsy Lunge,"1
Stand upright with your feet hip-width apart, holding a kettlebell in one hand (the hand on the same side as the leg that will step back, or the opposite side for a stability challenge). Hold the kettlebell in a racked position (bell resting on your forearm, elbow tucked in) or in a farmer's carry position (arm extended down at your side)

2
Keeping your chest up and core engaged, take a large step backward and diagonally with the leg opposite to the hand holding the kettlebell. Your back foot should land behind and outside of your front foot, as if you are doing a curtsy

3
As you step back, lower your hips straight down until your front thigh is parallel to the floor and your back knee is hovering just above the ground. Ensure your front knee is tracking over your toes and not caving inward, and your torso remains upright

4
Push off the back foot and drive through the heel of your front foot to return to the starting standing position. Maintain control and balance as you bring your feet back together

5
Repeat for the desired number of repetitions on one side before switching the kettlebell to the other hand and performing the exercise on the other leg",https://musclewiki.com/kettlebells/male/glutes/Kettlebell-single-arm-curtsy-lunge/,,,Intermediate,
hamstrings,Hamstring Stretch Seated Single Leg,"1
Sit on the floor with both legs extended straight out in front of you. Keep your back straight and your core gently engaged

2
Bend one knee and bring the sole of that foot to rest against the inner thigh of your extended leg. Your bent knee should fall open to the side

3
Keeping your extended leg straight with your toes pointing upwards (flex your foot), slowly lean forward from your hips, reaching your hands towards your ankle, shin, or toes of the extended leg

4
Maintain a straight back and avoid rounding your shoulders. Focus on feeling the stretch along the back of your extended thigh

5
Hold the stretch for 20-30 seconds, breathing deeply and trying to relax into the stretch with each exhale. Avoid bouncing or forcing the stretch

6
Slowly release the stretch and return to the starting position. Repeat on the other side by extending the bent leg and bending the other",https://musclewiki.com/recovery/male/hamstrings/hamstring-stretch-seated-single-leg/,https://media.musclewiki.com/media/uploads/videos/branded/male-Recovery-hamstring-stretch-seated-single-leg-front.mp4#t=0.1,,Novice,"Hamstrings Exercise, Leg Exercise, Hamstring Exercise"
glutes,Kettlebell Single Arm Curtsy Lunge,"1
Stand upright with your feet hip-width apart, holding a kettlebell in one hand (the hand on the same side as the leg that will step back, or the opposite side for a stability challenge). Hold the kettlebell in a racked position (bell resting on your forearm, elbow tucked in) or in a farmer's carry position (arm extended down at your side)

2
Keeping your chest up and core engaged, take a large step backward and diagonally with the leg opposite to the hand holding the kettlebell. Your back foot should land behind and outside of your front foot, as if you are doing a curtsy

3
As you step back, lower your hips straight down until your front thigh is parallel to the floor and your back knee is hovering just above the ground. Ensure your front knee is tracking over your toes and not caving inward, and your torso remains upright

4
Push off the back foot and drive through the heel of your front foot to return to the starting standing position. Maintain control and balance as you bring your feet back together

5
Repeat for the desired number of repetitions on one side before switching the kettlebell to the other hand and performing the exercise on the other leg",https://musclewiki.com/kettlebells/male/glutes/Kettlebell-single-arm-curtsy-lunge/,,,Intermediate,
glutes,Cardio In And Outs,"1
Start in a high plank position with your hands directly under your shoulders, fingers pointing forward, and your body in a straight line from head to heels. Your feet should be together

2
Keeping your core tight and hips stable, simultaneously jump both feet outwards, wider than hip-width apart, landing softly on the balls of your feet

3
Immediately and with control, jump both feet back inwards to the starting plank position, bringing them together again

4
Continue to rapidly jump your feet in and out, maintaining a strong plank throughout the movement. Focus on controlled, quick movements rather than speed that compromises form

5
Repeat for the desired number of repetitions or time interval",https://musclewiki.com/cardio/male/calves/cardio-in-and-outs/,https://media.musclewiki.com/media/uploads/videos/branded/male-Cardio-cardio-in-and-outs-front.mp4#t=0.1,,Beginner,"Butt Exercise, Glutes Exercise, Leg Exercise, Glute Exercise, Calves Exercise, Gluteus Medius Exercise, Calves"
