Muscle Group,Exercise Name,Instructions,Exercise URL,Video URL,Detailed How-To,Difficulty,Tags,Exercise Type
biceps,Plate Bicep Curl,,https://musclewiki.com/plate/male/biceps/plate-bicep-curl/,https://media.musclewiki.com/media/uploads/videos/branded/male-plate-bicep-curl-front.mp4#t=0.1,,Novice,"Biceps Exercise, beginner Plate exercise, Plate Exercise, How to do Plate Bicep Curl, How To Do A Plate Bicep Curl, Arm Exercise, Bicep Exercise",Muscle Building
chest,TRX Pec Fly,,https://musclewiki.com/trx/male/chest/trx-pec-fly/,,,,"intermediate TRX exercise, Total Resistance Exercise, chest, TRX, How to do TRX Pec Fly, TRX Exercise, Pec Exercise, Pecs, How To Do A TRX Pec Fly, Chest Exercise, pecs",Muscle Building
chest,TRX Pushup,,https://musclewiki.com/trx/male/shoulders/trx-pushup/,,,,"Total Resistance Exercise, pushup, Pecs, TRX, pecs, Anterior Deltoid Exercise, Shoulder Exercise, How To Do A TRX Pushup, beginner TRX exercise, TRX Exercise, Chest Exercise, Pec Exercise, How to do TRX Pushup, Shoulders Exercise",Muscle Building
chest,Cable Bench Press,,https://musclewiki.com/cables/male/anterior-deltoid/cable-bench-press/,,,,"Pec Exercise, Chest Exercise, Pecs",Muscle Building
chest,Kettlebell Floor Press,,https://musclewiki.com/kettlebells/male/triceps/kettlebell-floor-press/,,,,"Kettlebell Exercise, Kettlebells, Arm Exercise, Triceps Exercise, Tricep Exercise",Muscle Building
chest,Smith Machine Pushup,,https://musclewiki.com/smith-machine/male/chest/smith-machine-pushup/,,,,"Pec Exercise, Chest Exercise, Pecs, Mid and Lower Chest Exercise",Muscle Building
quads,Kettlebell Single Arm Curtsy Lunge,,https://musclewiki.com/kettlebells/male/glutes/Kettlebell-single-arm-curtsy-lunge/,,,,,Muscle Building
hamstrings,Hamstring Stretch Seated Single Leg,,https://musclewiki.com/recovery/male/hamstrings/hamstring-stretch-seated-single-leg/,https://media.musclewiki.com/media/uploads/videos/branded/male-Recovery-hamstring-stretch-seated-single-leg-front.mp4#t=0.1,,Beginner,"Hamstrings Exercise, Leg Exercise, Hamstring Exercise",Stretching
glutes,Kettlebell Single Arm Curtsy Lunge,,https://musclewiki.com/kettlebells/male/glutes/Kettlebell-single-arm-curtsy-lunge/,,,,,Muscle Building
glutes,Cardio In And Outs,,https://musclewiki.com/cardio/male/calves/cardio-in-and-outs/,https://media.musclewiki.com/media/uploads/videos/branded/male-Cardio-cardio-in-and-outs-front.mp4#t=0.1,,Intermediate,"Butt Exercise, Glutes Exercise, Leg Exercise, Glute Exercise, Calves Exercise, Gluteus Medius Exercise, Calves",Cardio
